Title_name,Title_list1_Image,Title_list1_cal,Title_list1_carbs,Title_list1_Fats,Title_list1_Prot,Title_list1_Sugar
"Hormel, Cure 81 Ham",https://images.eatthismuch.com/missing_thumbnail1.png,89,0.2 g,3.0 g,15.5 g,0 g
"Cracker Barrel, coleslaw",https://images.eatthismuch.com/missing_thumbnail1.png,292,21.7 g,22.1 g,1.5 g,2.7 g
"Denny's, mozzarella cheese sticks",https://images.eatthismuch.com/missing_thumbnail1.png,739,62.1 g,40.7 g,30.9 g,3.6 g
"Denny's, chicken nuggets, star shaped, from kid's menu",https://images.eatthismuch.com/missing_thumbnail1.png,253,9.1 g,19.1 g,10.9 g,0.5 g
"Smart Soup, French Lentil",https://images.eatthismuch.com/missing_thumbnail1.png,150,26.9 g,3.0 g,8.2 g,8.2 g
"Snacks, granola bar, General Mills Nature Valley, Sweet&Salty Nut, peanut",https://images.eatthismuch.com/missing_thumbnail1.png,170,21.4 g,8.0 g,3.2 g,1.0 g
"Soup, clam chowder, new england, reduced sodium, canned, ready-to-serve",https://images.eatthismuch.com/missing_thumbnail1.png,363,29.5 g,22.0 g,12.1 g,4.2 g
"Soup, Healthy Choice Chicken Noodle Soup, canned",https://images.eatthismuch.com/missing_thumbnail1.png,100,12.6 g,1.5 g,9.0 g,1.9 g
"turkey breast sub on white bread with lettuce and tomato
Subway",https://images.eatthismuch.com/missing_thumbnail1.png,270,41.3 g,4.3 g,16.8 g,2.4 g
"Club sub on white bread with lettuce and tomato
Subway",https://images.eatthismuch.com/missing_thumbnail1.png,302,42.1 g,5.0 g,22.1 g,2.9 g
"cold cut sub on white bread with lettuce and tomato
Subway",https://images.eatthismuch.com/missing_thumbnail1.png,419,40.0 g,19.7 g,20.6 g,2.4 g
"Sunshine, Cheez-It, Duoz Sharp Cheddar Parmesan Crackers",https://images.eatthismuch.com/missing_thumbnail1.png,150,18.2 g,7.5 g,2.9 g,0.7 g
"Sunshine, Cheez-It, Crackers (made with Whole Grain)",https://images.eatthismuch.com/missing_thumbnail1.png,153,17.5 g,8.0 g,3.2 g,1.3 g
"Sunshine, Cheez-It, Duoz Smoked Cheddar Monterey Jack Crackers",https://images.eatthismuch.com/missing_thumbnail1.png,152,18.2 g,7.8 g,2.7 g,0.7 g
"Turkey, back, from whole bird, meat and skin, with added solution, raw",https://images.eatthismuch.com/missing_thumbnail1.png,235,0.2 g,17.6 g,19.2 g,0 g
"Turkey, all classes, wing, meat and skin, cooked, roasted",https://images.eatthismuch.com/missing_thumbnail1.png,55,0 g,3.0 g,6.6 g,0 g
"Turkey, skin, from retail parts, from dark meat, raw",https://images.eatthismuch.com/missing_thumbnail1.png,133,0 g,12.5 g,5.0 g,0 g
"Turkey, wing, from whole bird, meat only, with added solution, roasted",https://images.eatthismuch.com/missing_thumbnail1.png,108,0 g,1.8 g,22.9 g,0 g
"Usda Commodity, Bakery, Flour Mix Low-fat",https://images.eatthismuch.com/missing_thumbnail1.png,361,70.6 g,4.7 g,9.1 g,3.5 g
"Usda Commodity, Chicken, canned, meat only, with broth",https://images.eatthismuch.com/missing_thumbnail1.png,180,0.3 g,6.3 g,30.3 g,0 g
"Veal, shank, separable lean and fat, raw",https://images.eatthismuch.com/missing_thumbnail1.png,91,0 g,2.8 g,16.4 g,0 g
"Veal, seam fat only, raw",https://images.eatthismuch.com/missing_thumbnail1.png,444,0 g,43.8 g,12.5 g,0 g
"Beef, round, top round roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",https://images.eatthismuch.com/missing_thumbnail1.png,106,0 g,3.0 g,19.9 g,0 g
"Beef, top loin filet, boneless, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",https://images.eatthismuch.com/missing_thumbnail1.png,248,0.3 g,9.6 g,40.3 g,0 g
"Beef, top loin petite roast/filet, boneless, separable lean only, trimmed to 1/8"" fat, select, raw",https://images.eatthismuch.com/missing_thumbnail1.png,115,0 g,4.1 g,19.4 g,0 g
"Beef, top loin petite roast/filet, boneless, separable lean and fat, trimmed to 1/8"" fat, choice
raw",https://images.eatthismuch.com/missing_thumbnail1.png,169,0.5 g,10.7 g,17.7 g,0 g
"Beef, top loin petite roast, boneless, separable lean only, trimmed to 1/8"" fat, all grades, cooked
roasted",https://images.eatthismuch.com/missing_thumbnail1.png,166,0.7 g,7.4 g,24.1 g,0 g
"Beverages, Kiwi Strawberry Juice Drink",https://images.eatthismuch.com/missing_thumbnail1.png,222,58.0 g,0 g,0 g,0 g
"Beverages, Horchata, dry mix, unprepared, variety of brands, all with morro seeds",https://images.eatthismuch.com/missing_thumbnail1.png,33,6.3 g,0.6 g,0.6 g,0.3 g
"Beverages, Gerolsteiner Brunnen GmbH & Co. Kg (Gerolsteiner), naturally sparkling
mineral bottled water",https://images.eatthismuch.com/missing_thumbnail1.png,0,0 g,0 g,0 g,0 g
"Beverages, Nestle, Boost plus, nutritional drink, ready-to-drink",https://images.eatthismuch.com/missing_thumbnail1.png,327,41.0 g,12.8 g,12.8 g,2.8 g
"Beverages, Mixed vegetable and fruit juice drink, with added nutrients",https://images.eatthismuch.com/missing_thumbnail1.png,72,18.5 g,0.0 g,0.1 g,0 g
"Beverages, Malt liquor beverage",https://images.eatthismuch.com/missing_thumbnail1.png,74,0 g,0 g,0.6 g,0 g
"Bread, naan, whole wheat, commercially prepared, refrigerated",https://images.eatthismuch.com/missing_thumbnail1.png,303,49.0 g,7.1 g,10.8 g,5.1 g
"Campbell's Chunky Soups, Healthy Request Vegetable Soup",https://images.eatthismuch.com/missing_thumbnail1.png,120,24.0 g,1.0 g,4.0 g,3.9 g
"Campbell's Chunky Soups, Grilled Sirloin Steak with Hearty Vegetables Soup",https://images.eatthismuch.com/missing_thumbnail1.png,125,19.0 g,2.0 g,8.0 g,3.9 g
"Campbell's Chunky Soups, Firehouse - Hot & Spicy Beef & Bean Chili",https://images.eatthismuch.com/missing_thumbnail1.png,233,25.0 g,8.0 g,15.0 g,5.9 g
"Campbell's Chunky Soups, Chicken Corn Chowder",https://images.eatthismuch.com/missing_thumbnail1.png,201,20.0 g,10.0 g,7.0 g,2.0 g
"Campbell's Chunky Soups, Split Pea 'N' Ham Soup",https://images.eatthismuch.com/missing_thumbnail1.png,191,30.0 g,2.5 g,12.0 g,4.9 g
"Campbell's Chunky Soups, Hearty Bean 'N' Ham Soup",https://images.eatthismuch.com/missing_thumbnail1.png,181,30.0 g,2.0 g,11.0 g,8.1 g
Campbell's Homestyle Healthy Request Mexican Style Chicken Tortilla,https://images.eatthismuch.com/missing_thumbnail1.png,130,19.0 g,2.5 g,7.0 g,2.9 g
"Campbell's Chunky Soups, Roadhouse - Beef & Bean Chili",https://images.eatthismuch.com/missing_thumbnail1.png,233,25.0 g,8.0 g,15.0 g,5.9 g
"Campbell's, Homestyle Chicken Noodle Soup, condensed",https://images.eatthismuch.com/missing_thumbnail1.png,64,9.5 g,1.6 g,3.0 g,1.0 g
"Campbell's Healthy Request, Chicken Noodle Soup, condensed",https://images.eatthismuch.com/missing_thumbnail1.png,59,8.2 g,1.6 g,3.0 g,1.3 g
"Candies, Mars Snackfood Us, Snickers Cruncher",https://images.eatthismuch.com/missing_thumbnail1.png,229,29.5 g,11.5 g,3.2 g,0.9 g
"Carrabba's Italian Grill, chicken parmesan without cavatappi pasta",https://images.eatthismuch.com/missing_thumbnail1.png,698,26.4 g,37.1 g,64.4 g,3.1 g
"Cereals ready-to-eat, General Mills, Dulce De Leche Cheerios",https://images.eatthismuch.com/missing_thumbnail1.png,102,22.1 g,1.5 g,1.8 g,2.0 g
"Cereals ready-to-eat, General Mills, Fiber One, Raisin Bran Clusters",https://images.eatthismuch.com/missing_thumbnail1.png,174,45.9 g,1.3 g,3.5 g,9.8 g
"Cereals ready-to-eat, Kashi Golean Crisp Toasted Berry Crumble",https://images.eatthismuch.com/missing_thumbnail1.png,188,34.0 g,4.2 g,9.2 g,8.1 g
"Cereals ready-to-eat, Kashi Berry Blossom",https://images.eatthismuch.com/missing_thumbnail1.png,97,24.9 g,0.9 g,2.3 g,5.7 g
"Cereals ready-to-eat, Kashi Golean Vanilla Graham Clusters",https://images.eatthismuch.com/missing_thumbnail1.png,168,35.7 g,1.3 g,11.0 g,8.8 g
"Cereals ready-to-eat, Ralston Enriched Wheat Bran flakes",https://images.eatthismuch.com/missing_thumbnail1.png,90,23.1 g,1.0 g,3.0 g,4.9 g
"Cereals ready-to-eat, wheat germ, toasted, plain",https://images.eatthismuch.com/missing_thumbnail1.png,134,17.4 g,3.7 g,10.2 g,5.3 g
"Chicken, broilers or fryers, back, meat only, cooked, rotisserie, original seasoning",https://images.eatthismuch.com/missing_thumbnail1.png,174,0 g,9.8 g,21.6 g,0 g
"Chicken, broilers or fryers, dark meat, thigh, meat and skin, cooked, braised",https://images.eatthismuch.com/missing_thumbnail1.png,254,0 g,17.1 g,25.1 g,0 g
Gjetost cheese,https://images.eatthismuch.com/images/food_icons_v3/cheese.png,132,12.1 g,8.4 g,2.7 g,0 g
Limburger cheese,https://images.eatthismuch.com/images/food_icons_v3/cheese.png,93,0.1 g,7.7 g,5.7 g,0 g
"Turkey egg
Whole, fresh, raw",https://images.eatthismuch.com/images/food_icons_v3/egg.png,135,0.9 g,9.4 g,10.8 g,0 g
Gerber graduates fruit strips real fruit bars,https://images.eatthismuch.com/images/food_icons_v3/baby_bottle.png,330,76.6 g,2.2 g,0.8 g,7.8 g
Cupu assu oil,https://images.eatthismuch.com/images/food_icons_v3/bottle.png,120,0 g,13.6 g,0 g,0 g
"Soybean oil
Salad or cooking, (partially hydrogenated) and cottonseed",https://images.eatthismuch.com/images/food_icons_v3/bottle.png,120,0 g,13.6 g,0 g,0 g
"Shortening
Special purpose for baking, soybean (hydrogenated) palm and cottonseed",https://images.eatthismuch.com/images/food_icons_v3/bottle.png,113,0 g,12.8 g,0 g,0 g
"Fish oil, herring",https://images.eatthismuch.com/images/food_icons_v3/bottle.png,123,0 g,13.6 g,0 g,0 g
"Shortening
Multipurpose, soybean (hydrogenated) and palm (hydrogenated)",https://images.eatthismuch.com/images/food_icons_v3/bottle.png,113,0 g,12.8 g,0 g,0 g
"Vegetable oil spread
Margarine-like, 60% fat, stick, with salt",https://images.eatthismuch.com/images/food_icons_v3/bottle.png,77,0.1 g,8.6 g,0.0 g,0 g
"Smart beat super light without saturated fat
Margarine-like spread",https://images.eatthismuch.com/images/food_icons_v3/bottle.png,22,0 g,2.4 g,0 g,0 g
"Smart balance omega plus spread (with plant sterols & fish oil)
Margarine-like spread",https://images.eatthismuch.com/images/food_icons_v3/bottle.png,85,0.0 g,9.9 g,0.0 g,0 g
"Vegetable oil spread
Margarine-like, 60% fat, stick/tub/bottle, without salt, with added vitamin d",https://images.eatthismuch.com/images/food_icons_v3/bottle.png,76,0.1 g,8.4 g,0.0 g,0 g
"Chicken, meat and skin and giblets and neck
Broilers or fryers, cooked, fried, batter",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,82,2.6 g,5.0 g,6.5 g,0 g
"Chicken, skin only
Broilers or fryers, cooked, stewed",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,261,0 g,23.8 g,11.0 g,0 g
"Chicken back
Broilers or fryers, meat only, cooked, fried",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,167,3.3 g,8.9 g,17.4 g,0 g
"Chicken back
Broilers or fryers, meat only, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,96,0 g,5.3 g,11.3 g,0 g
"Chicken neck
Broilers or fryers, meat and skin, cooked simmered",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,94,0 g,6.9 g,7.5 g,0 g
"Goose, meat only
Domesticated, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,340,0 g,18.1 g,41.4 g,0 g
"Pheasant
Raw, meat only",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,434,0 g,11.9 g,76.8 g,0 g
"Turkey liver
All classes, raw",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,128,0 g,5.5 g,18.3 g,0 g
"Turkey, skin only
Fryer-roasters, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,362,0 g,28.2 g,25.3 g,0 g
"Turkey, dark meat
Fryer-roasters, meat and skin, raw",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,195,0 g,7.2 g,30.3 g,0 g
"Turkey back
Fryer-roasters, meat and skin, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,265,0 g,13.3 g,34.0 g,0 g
"Turkey wing
Fryer-roasters, meat only, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,88,0 g,1.2 g,18.1 g,0 g
"Emu, fan fillet
Cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,131,0 g,2.0 g,26.6 g,0 g
"Ostrich, ground
Cooked, pan-broiled",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,163,0 g,6.6 g,24.3 g,0 g
"Ostrich, inside leg
Raw",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,94,0 g,1.5 g,19.0 g,0 g
"Ostrich, tenderloin
Raw",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,123,0 g,3.2 g,22.1 g,0 g
"Ostrich, tip trimmed
Cooked",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,123,0 g,2.2 g,24.2 g,0 g
"Chunky chicken noodle soup
Canned, ready-to-serve",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,216,23.5 g,6.1 g,16.3 g,4.2 g
"Clam chowder soup
Manhattan style, canned, chunky, ready-to-serve",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,302,42.3 g,7.6 g,16.3 g,6.5 g
"Lentil with ham soup
Canned, ready-to-serve",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,318,46.3 g,6.4 g,21.2 g,0 g
"Pepperpot soup
Canned, condensed",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,250,22.8 g,11.3 g,15.5 g,1.2 g
"Turkey soup
Chunky, canned, ready-to-serve",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,303,31.7 g,9.9 g,23.0 g,0 g
"Campbell's red and white campbell soup company
Chicken noodleo's soup, condensed",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,89,15.0 g,2.5 g,3.0 g,1.0 g
"Gravy, au jus
Canned",https://images.eatthismuch.com/thmb/712_boof4180_0ea6921c-8e96-421e-a283-cc809eb0496d.jpeg,38,5.9 g,0.5 g,2.9 g,0 g
"Tomato bisque soup
Canned, condensed",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,248,47.7 g,5.0 g,4.5 g,2.1 g
"Chicken vegetable with potato and cheese soup
Chunky, ready-to-serve",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,65,5.2 g,4.5 g,1.2 g,0.3 g
"Oyster stew soup
Canned, prepared with equal volume milk",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,327,23.7 g,19.3 g,14.9 g,0 g
"Pea soup
Green, canned, prepared with equal volume milk",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,239,32.2 g,7.0 g,12.6 g,2.8 g
"Chicken broth soup
Canned, prepared with equal volume water",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,39,0.9 g,1.4 g,4.9 g,0 g
"Minestrone soup
Canned, prepared with equal volume water",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,199,27.3 g,6.1 g,10.4 g,2.3 g
"Cream of shrimp soup
Canned, prepared with equal volume water",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,213,19.4 g,12.3 g,6.6 g,0.6 g
"Vegetarian vegetable soup
Canned, prepared with equal volume water",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,164,28.7 g,4.6 g,5.0 g,1.8 g
"Bean with bacon soup
Dry, mix, prepared with water",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,106,16.4 g,2.1 g,5.5 g,9.0 g
"Tomato soup
Dry, mix, prepared with water",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,101,19.0 g,1.6 g,2.5 g,1.1 g
"Chicken mushroom chowder soup
Chunky, ready-to-serve, single brand",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,192,17.0 g,10.6 g,7.2 g,3.4 g
"Potato ham chowder soup
Chunky, ready-to-serve, single brand",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,192,13.4 g,12.5 g,6.5 g,1.4 g
"Tomato soup
Low sodium, with water",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,74,16.3 g,0.7 g,2.0 g,1.5 g
"Chicken noodle soup
Low sodium, canned, prepared with equal volume water",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,62,7.3 g,2.4 g,3.1 g,0.5 g
"Instant potato soup
Dry mix",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,134,29.7 g,1.2 g,3.6 g,3.0 g
Blood sausage,https://images.eatthismuch.com/images/food_icons_v3/sausage.png,107,0.4 g,9.8 g,4.1 g,0 g
"Pork bockwurst
Veal, raw",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,274,2.7 g,23.5 g,12.8 g,0.9 g
Beef and pork bologna,https://images.eatthismuch.com/images/food_icons_v3/sausage.png,308,5.5 g,24.6 g,15.2 g,0 g
Chicken spread,https://images.eatthismuch.com/images/food_icons_v3/sausage.png,88,2.3 g,9.8 g,10.1 g,0.2 g
Turkey frankfurter,https://images.eatthismuch.com/images/food_icons_v3/sausage.png,63,1.1 g,4.9 g,3.5 g,0 g
Ham and cheese loaf or roll,https://images.eatthismuch.com/images/food_icons_v3/sausage.png,137,2.3 g,10.7 g,7.8 g,0 g
"Beef and pork salami
Cooked",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,95,0.7 g,7.3 g,6.2 g,0 g
Wheat bran bread,https://images.eatthismuch.com/images/food_icons_v3/bread.png,89,17.2 g,1.2 g,3.2 g,1.4 g
"Bread stuffing
Bread, dry mix",https://images.eatthismuch.com/images/food_icons_v3/bread.png,109,21.6 g,1.0 g,3.1 g,0.9 g
"Angelfood cake
Dry mix, prepared",https://images.eatthismuch.com/images/food_icons_v3/bread.png,129,29.4 g,0.2 g,3.1 g,0.1 g
"Shortcake cake
Biscuit-type, prepared from recipe",https://images.eatthismuch.com/images/food_icons_v3/bread.png,98,13.7 g,4.0 g,1.7 g,0 g
"Chocolate chip cookies
Prepared from recipe, made with margarine",https://images.eatthismuch.com/images/food_icons_v3/bread.png,156,18.7 g,9.1 g,1.8 g,0.9 g
"Coconut macaroons
Cookies, prepared from recipe",https://images.eatthismuch.com/images/food_icons_v3/bread.png,115,20.5 g,3.6 g,1.0 g,0.5 g
"Oatmeal cookies
Commercially prepared, regular",https://images.eatthismuch.com/images/food_icons_v3/bread.png,113,17.2 g,4.5 g,1.6 g,0.7 g
"Oatmeal cookies
Commercially prepared, soft-type",https://images.eatthismuch.com/images/food_icons_v3/bread.png,61,9.9 g,2.2 g,0.9 g,0.4 g
"Peanut butter cookies
Refrigerated dough, baked",https://images.eatthismuch.com/images/food_icons_v3/bread.png,143,16.2 g,7.8 g,2.6 g,0.3 g
"Shortbread cookies
Commercially prepared, pecan",https://images.eatthismuch.com/images/food_icons_v3/bread.png,154,16.5 g,9.2 g,1.4 g,0.5 g
"Peanut butter sandwich cookies
Special dietary",https://images.eatthismuch.com/images/food_icons_v3/bread.png,152,14.4 g,9.6 g,2.8 g,0 g
"Sugar wafer cookies
With creme filling, regular",https://images.eatthismuch.com/images/food_icons_v3/bread.png,142,20.0 g,6.6 g,1.1 g,0.5 g
"Cream puffs
Prepared from recipe, shell (includes eclair)",https://images.eatthismuch.com/images/food_icons_v3/bread.png,239,15.0 g,17.1 g,5.9 g,0.5 g
"Croissants
Cheese",https://images.eatthismuch.com/images/food_icons_v3/bread.png,236,26.8 g,11.9 g,5.2 g,1.5 g
"Eclairs
Custard-filled with chocolate glaze, prepared from recipe",https://images.eatthismuch.com/images/food_icons_v3/bread.png,293,27.1 g,17.6 g,7.2 g,0.7 g
"Ice cream cones
Sugar, rolled-type",https://images.eatthismuch.com/images/food_icons_v3/bread.png,114,23.8 g,1.1 g,2.2 g,0.5 g
"Corn muffins
Toaster-type",https://images.eatthismuch.com/images/food_icons_v3/bread.png,114,19.1 g,3.7 g,1.7 g,0.5 g
"Wheat bran muffins
Toaster-type with raisins",https://images.eatthismuch.com/images/food_icons_v3/bread.png,106,18.8 g,3.2 g,1.9 g,2.8 g
"Chocolate creme pie
Commercially prepared",https://images.eatthismuch.com/images/food_icons_v3/bread.png,349,38.1 g,22.2 g,4.1 g,0.8 g
"Chocolate mousse pie
Prepared from mix, no-bake type",https://images.eatthismuch.com/images/food_icons_v3/bread.png,247,28.1 g,14.6 g,3.3 g,0 g
"Fried pies pie
Fruit",https://images.eatthismuch.com/images/food_icons_v3/bread.png,404,54.5 g,20.6 g,3.8 g,3.3 g
"Pumpkin pie
Prepared from recipe",https://images.eatthismuch.com/images/food_icons_v3/bread.png,316,40.9 g,14.4 g,7.0 g,0 g
"Wheat bran muffins
Toaster-type with raisins, toasted",https://images.eatthismuch.com/images/food_icons_v3/bread.png,106,18.9 g,3.2 g,1.9 g,2.8 g
"Pie crust
Cookie-type, prepared from recipe, graham cracker, chilled",https://images.eatthismuch.com/images/food_icons_v3/bread.png,145,19.2 g,7.3 g,1.2 g,0.5 g
"Coffeecake
Cinnamon with crumb topping, commercially prepared, unenriched",https://images.eatthismuch.com/images/food_icons_v3/bread.png,263,29.4 g,14.7 g,4.3 g,1.3 g
"White cake
Dry mix, pudding-type, unenriched",https://images.eatthismuch.com/images/food_icons_v3/bread.png,120,23.0 g,2.7 g,1.1 g,0.2 g
"Butter cookies
Commercially prepared, unenriched",https://images.eatthismuch.com/images/food_icons_v3/bread.png,132,19.5 g,5.3 g,1.7 g,0.2 g
"English muffins
Plain, enriched, without calcium propionate(includes sourdough)",https://images.eatthismuch.com/images/food_icons_v3/bread.png,134,26.2 g,1.0 g,4.4 g,1.5 g
"Cherry pie
Fried pies",https://images.eatthismuch.com/images/food_icons_v3/bread.png,404,54.5 g,20.6 g,3.8 g,3.3 g
"Lemon pie
Fried pies",https://images.eatthismuch.com/images/food_icons_v3/bread.png,404,54.5 g,20.6 g,3.8 g,3.3 g
"Snack cakes cake
Cupcakes, chocolate, with frosting, low-fat",https://images.eatthismuch.com/images/food_icons_v3/bread.png,131,28.9 g,1.6 g,1.8 g,1.8 g
"Kellogg's pop tarts
Toaster pastries, kellogg, frosted cherry",https://images.eatthismuch.com/images/food_icons_v3/bread.png,206,37.4 g,5.3 g,2.2 g,0.5 g
"Kellogg's pop tarts
Toaster pastries, kellogg, frosted raspberry",https://images.eatthismuch.com/images/food_icons_v3/bread.png,207,37.2 g,5.5 g,2.2 g,0.5 g
"Kellogg's low fat pop tarts
Kellogg, frosted brown sugar cinnamon",https://images.eatthismuch.com/images/food_icons_v3/bread.png,183,36.9 g,3.0 g,2.4 g,2.8 g
"Kellogg's low fat pop tarts
Kellogg, frosted strawberry",https://images.eatthismuch.com/thmb/4356_mnopp27_431868a5-1b5b-423e-be66-6ba686afb850.png,189,38.7 g,2.8 g,2.2 g,2.9 g
"Pie crust
Deep dish, frozen, unbaked, made with enriched flour",https://images.eatthismuch.com/images/food_icons_v3/bread.png,1053,105.3 g,64.7 g,12.4 g,3.2 g
"Pie crust
Refrigerated, regular, baked",https://images.eatthismuch.com/images/food_icons_v3/bread.png,1002,115.9 g,56.8 g,6.8 g,2.8 g
"Pie crust
Deep dish, frozen, baked, made with enriched flour",https://images.eatthismuch.com/thmb/4392_hanadihermi88_fa9b4b8c-4b23-4f17-b37f-0599a2886d23.jpeg,1052,106.0 g,64.3 g,12.3 g,4.6 g
"Fruit leather
Snacks, rolls",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,78,18.0 g,0.6 g,0.0 g,0 g
"Peanut granola bars
Snacks, hard",https://images.eatthismuch.com/images/food_icons_v3/cookie.png,136,18.1 g,6.1 g,3.1 g,1.2 g
"Peanut butter granola bars
Snacks, soft, uncoated",https://images.eatthismuch.com/images/food_icons_v3/cookie.png,119,18.0 g,4.4 g,2.9 g,1.2 g
"Doo dads snack mix
Snacks, original flavor",https://images.eatthismuch.com/images/food_icons_v3/cookie.png,260,36.7 g,10.5 g,5.9 g,3.9 g
"Potato chips
Snacks, made from dried potatoes, reduced fat",https://images.eatthismuch.com/images/food_icons_v3/cookie.png,142,18.4 g,7.4 g,1.3 g,0.9 g
"Trail mix
Snacks, tropical",https://images.eatthismuch.com/images/food_icons_v3/cookie.png,186,27.6 g,7.2 g,2.6 g,0 g
"Twizzlers cherry bites
Candies",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,135,31.8 g,0.7 g,1.2 g,0.0 g
"Sweet chocolate
Candies",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,208,24.8 g,14.0 g,1.6 g,2.3 g
"Confectioner's coating
Candies, butterscotch",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,916,114.1 g,49.4 g,3.7 g,0 g
"Twizzlers nibs cherry bits
Candies",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,139,31.7 g,1.1 g,0.9 g,0.2 g
"Chocolate fudge
Candies, prepared-from-recipe",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,70,13.0 g,1.8 g,0.4 g,0.3 g
"Vanilla fudge with nuts
Candies",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,435,74.6 g,13.7 g,3 g,0.9 g
"Banana puddings
Dry mix, instant, prepared with 2% milk",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,105,19.7 g,1.7 g,2.8 g,0 g
"Milk chocolate coated peanuts
Candies",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,208,19.9 g,13.4 g,5.2 g,1.9 g
"Milk chocolate
Candies, with rice cereal",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,240,28.0 g,13.8 g,3.6 g,1.6 g
Strawberry toppings,https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,107,27.8 g,0.0 g,0.1 g,0.3 g
"Apple crisp
Desserts, prepared-from-recipe",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,227,43.5 g,4.8 g,2.5 g,2.0 g
"Chocolate puddings
Dry mix, regular, prepared with 2% milk",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,111,19.8 g,2.1 g,3.3 g,0.8 g
"Rice puddings
Dry mix, prepared with whole milk",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,121,20.7 g,2.8 g,3.3 g,0.1 g
"Chocolate rennin
Dry mix, prepared with 2% milk",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,85,13.5 g,2.1 g,3.2 g,0.5 g
"Chocolate rennin
Dry mix, prepared with whole milk",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,96,13.3 g,3.3 g,3.2 g,0.5 g
"Coconut-nut frosting
Ready-to-eat",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,165,20.0 g,9.1 g,0.6 g,1.0 g
"Cream cheese-flavor frosting
Ready-to-eat",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,137,22.2 g,5.7 g,0.0 g,0 g
"Almond joy bites
Candies",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,225,23.0 g,13.8 g,2.2 g,1.7 g
"Kit kat big kat bar
Candies, hershey",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,286,35.0 g,15.3 g,3.4 g,1.0 g
"Dark chocolate coated coffee beans
Candies",https://images.eatthismuch.com/thmb/4610_Medhat754_3dd175b7-9719-4297-9c4e-f5ef746cd685.jpg,216,24.0 g,12 g,3 g,3 g
